Year;Country of origin;Country of asylum;Refugees;Asylum-seekers
2018;Algeria;Greece;86;677
2018;Algeria;Italy;199;165
2018;Algeria;Spain;48;1215
2018;Algeria;Switzerland;162;194
2018;Egypt;France;980;413
2018;Egypt;United Kingdom of Great Britain and Northern Ireland;758;327
2018;Egypt;Germany;2122;2589
2018;Egypt;Greece;264;1284
2018;Egypt;Italy;2289;796
2018;Egypt;Spain;15;65
2018;Egypt;Switzerland;110;19
2018;Bahrain;France;10;0
2018;Bahrain;United Kingdom of Great Britain and Northern Ireland;168;11
2018;Bahrain;Germany;79;14
2018;Bahrain;Italy;5;0
2018;Bahrain;Switzerland;5;0
2018;Palestinian;France;940;271
2018;Palestinian;United Kingdom of Great Britain and Northern Ireland;536;259
2018;Palestinian;Greece;1290;1242
2018;Palestinian;Italy;1049;205
2018;Palestinian;Portugal;5;5
2018;Palestinian;Spain;1051;2510
2018;Iraq;France;8131;1521
2018;Iraq;United Kingdom of Great Britain and Northern Ireland;4708;3420
2018;Iraq;Germany;136463;41954
2018;Iraq;Greece;8828;9066
2018;Iraq;Italy;6174;1011
2018;Iraq;Portugal;162;0
2018;Iraq;Spain;324;150
2018;Iraq;Switzerland;4476;854
2018;Israel;France;7;0
2018;Israel;United Kingdom of Great Britain and Northern Ireland;6;5
2018;Israel;Germany;41;36
2018;Israel;Italy;7;5
2018;Israel;Switzerland;5;5
2018;Jordan;France;31;5
2018;Jordan;United Kingdom of Great Britain and Northern Ireland;70;56
2018;Jordan;Germany;382;387
2018;Jordan;Greece;19;37
2018;Jordan;Italy;35;15
2018;Jordan;Spain;28;20
2018;Jordan;Switzerland;66;5
2018;Kuwait;France;121;173
2018;Kuwait;United Kingdom of Great Britain and Northern Ireland;583;424
2018;Kuwait;Germany;27;51
2018;Kuwait;Greece;85;60
2018;Kuwait;Italy;8;0
2018;Kuwait;Switzerland;0;5
2018;Libya;France;721;792
2018;Libya;United Kingdom of Great Britain and Northern Ireland;3003;815
2018;Libya;Germany;1732;1345
2018;Libya;Greece;39;48
2018;Libya;Italy;1142;367
2018;Libya;Portugal;14;0
2018;Libya;Spain;24;145
2018;Libya;Switzerland;303;66
2018;Lebanon;France;140;124
2018;Lebanon;United Kingdom of Great Britain and Northern Ireland;171;50
2018;Lebanon;Germany;1557;2820
2018;Lebanon;Greece;41;99
2018;Lebanon;Italy;328;44
2018;Lebanon;Spain;24;130
2018;Lebanon;Switzerland;36;23
2018;Mauritania;France;5419;959
2018;Mauritania;United Kingdom of Great Britain and Northern Ireland;6;5
2018;Mauritania;Germany;34;87
2018;Mauritania;Greece;53;21
2018;Mauritania;Italy;347;37
2018;Mauritania;Portugal;5;0
2018;Mauritania;Spain;0;95
2018;Mauritania;Switzerland;9;0
2018;Morocco;France;632;449
2018;Morocco;United Kingdom of Great Britain and Northern Ireland;198;114
2018;Morocco;Germany;712;1310
2018;Morocco;Greece;150;345
2018;Morocco;Italy;1076;2275
2018;Morocco;Portugal;9;0
2018;Morocco;Spain;173;1060
2018;Morocco;Switzerland;67;96
2018;Oman;United Kingdom of Great Britain and Northern Ireland;16;11
2018;Oman;Germany;9;6
2018;Qatar;United Kingdom of Great Britain and Northern Ireland;5;0
2018;Saudi Arabia;France;12;0
2018;Saudi Arabia;United Kingdom of Great Britain and Northern Ireland;165;74
2018;Saudi Arabia;Germany;130;36
2018;Saudi Arabia;Greece;7;0
2018;Saudi Arabia;Italy;11;11
2018;Saudi Arabia;Spain;0;5
2018;Saudi Arabia;Switzerland;7;11
2018;Syrian Arab Rep.;France;15822;3352
2018;Syrian Arab Rep.;United Kingdom of Great Britain and Northern Ireland;9720;685
2018;Syrian Arab Rep.;Germany;532065;52396
2018;Syrian Arab Rep.;Greece;23931;14104
2018;Syrian Arab Rep.;Italy;4652;1197
2018;Syrian Arab Rep.;Portugal;602;0
2018;Syrian Arab Rep.;Spain;13765;2320
2018;Syrian Arab Rep.;Switzerland;16565;1789
2018;Tunisia;France;326;225
2018;Tunisia;United Kingdom of Great Britain and Northern Ireland;53;43
2018;Tunisia;Germany;197;599
2018;Tunisia;Greece;19;53
2018;Tunisia;Italy;672;705
2018;Tunisia;Spain;0;100
2018;Tunisia;Switzerland;246;34
2018;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;20;8
2018;United Arab Emirates;Germany;33;5
2018;United Arab Emirates;Switzerland;0;68
2018;Western Sahara;France;573;1097
2018;Western Sahara;United Kingdom of Great Britain and Northern Ireland;11;5
2018;Western Sahara;Greece;7;5
2018;Western Sahara;Italy;5;0
2018;Western Sahara;Spain;19;95
2018;Western Sahara;Switzerland;9;0
2018;Yemen;France;338;196
2018;Yemen;United Kingdom of Great Britain and Northern Ireland;624;168
2018;Yemen;Germany;1809;873
2018;Yemen;Greece;369;178
2018;Yemen;Italy;141;54
2018;Yemen;Portugal;7;0
2018;Yemen;Spain;103;500
2018;Yemen;Switzerland;336;20
2019;Algeria;France;1997;1211
2019;Algeria;United Kingdom of Great Britain and Northern Ireland;344;353
2019;Algeria;Germany;613;1090
2019;Algeria;Greece;98;478
2019;Algeria;Italy;228;130
2019;Algeria;Portugal;0;5
2019;Algeria;Spain;61;1345
2019;Algeria;Switzerland;162;147
2019;Egypt;France;1091;417
2019;Egypt;United Kingdom of Great Britain and Northern Ireland;860;510
2019;Egypt;Germany;2310;2194
2019;Egypt;Greece;343;1502
2019;Egypt;Italy;2379;638
2019;Egypt;Portugal;0;9
2019;Egypt;Spain;39;125
2019;Egypt;Switzerland;115;24
2019;Bahrain;France;10;0
2019;Bahrain;United Kingdom of Great Britain and Northern Ireland;177;12
2019;Bahrain;Germany;89;5
2019;Bahrain;Italy;5;0
2019;Bahrain;Switzerland;5;0
2019;Palestinian;France;1109;232
2019;Palestinian;United Kingdom of Great Britain and Northern Ireland;608;345
2019;Palestinian;Greece;2756;1530
2019;Palestinian;Italy;1086;90
2019;Palestinian;Portugal;5;0
2019;Palestinian;Spain;1184;1385
2019;Iraq;France;8829;1330
2019;Iraq;United Kingdom of Great Britain and Northern Ireland;5752;5338
2019;Iraq;Germany;141650;35175
2019;Iraq;Greece;9614;7283
2019;Iraq;Italy;6994;934
2019;Iraq;Portugal;181;5
2019;Iraq;Spain;292;250
2019;Iraq;Switzerland;4545;671
2019;Israel;France;7;0
2019;Israel;United Kingdom of Great Britain and Northern Ireland;7;10
2019;Israel;Germany;39;41
2019;Israel;Italy;9;0
2019;Israel;Spain;0;10
2019;Israel;Switzerland;5;0
2019;Jordan;France;32;5
2019;Jordan;United Kingdom of Great Britain and Northern Ireland;73;99
2019;Jordan;Germany;435;450
2019;Jordan;Greece;24;27
2019;Jordan;Italy;41;10
2019;Jordan;Portugal;0;5
2019;Jordan;Spain;30;30
2019;Jordan;Switzerland;59;0
2019;Kuwait;France;164;401
2019;Kuwait;United Kingdom of Great Britain and Northern Ireland;640;342
2019;Kuwait;Germany;30;31
2019;Kuwait;Greece;104;97
2019;Kuwait;Italy;13;5
2019;Kuwait;Spain;0;5
2019;Kuwait;Switzerland;6;0
2019;Libya;France;1028;632
2019;Libya;United Kingdom of Great Britain and Northern Ireland;3755;896
2019;Libya;Germany;1987;1183
2019;Libya;Greece;40;38
2019;Libya;Italy;1436;192
2019;Libya;Portugal;15;10
2019;Libya;Spain;51;140
2019;Libya;Switzerland;312;50
2019;Lebanon;France;147;38
2019;Lebanon;United Kingdom of Great Britain and Northern Ireland;180;126
2019;Lebanon;Germany;1656;2248
2019;Lebanon;Greece;55;55
2019;Lebanon;Italy;372;97
2019;Lebanon;Spain;25;175
2019;Lebanon;Switzerland;43;20
2019;Mauritania;France;5675;1307
2019;Mauritania;United Kingdom of Great Britain and Northern Ireland;6;5
2019;Mauritania;Germany;41;97
2019;Mauritania;Greece;55;18
2019;Mauritania;Italy;355;8
2019;Mauritania;Portugal;5;0
2019;Mauritania;Spain;5;120
2019;Mauritania;Switzerland;10;5
2019;Morocco;France;794;518
2019;Morocco;United Kingdom of Great Britain and Northern Ireland;220;206
2019;Morocco;Germany;800;1152
2019;Morocco;Greece;175;265
2019;Morocco;Italy;1284;1102
2019;Morocco;Portugal;9;28
2019;Morocco;Spain;366;1980
2019;Morocco;Switzerland;68;58
2019;Oman;United Kingdom of Great Britain and Northern Ireland;19;17
2019;Oman;Germany;9;11
2019;Oman;Spain;0;5
2019;Qatar;United Kingdom of Great Britain and Northern Ireland;5;10
2019;Qatar;Germany;5;0
2019;Saudi Arabia;France;18;5
2019;Saudi Arabia;United Kingdom of Great Britain and Northern Ireland;212;152
2019;Saudi Arabia;Germany;145;39
2019;Saudi Arabia;Greece;7;0
2019;Saudi Arabia;Italy;25;20
2019;Saudi Arabia;Spain;5;5
2019;Saudi Arabia;Switzerland;11;9
2019;Syrian Arab Rep.;France;18244;3246
2019;Syrian Arab Rep.;United Kingdom of Great Britain and Northern Ireland;10389;1228
2019;Syrian Arab Rep.;Germany;572818;41585
2019;Syrian Arab Rep.;Greece;26696;16165
2019;Syrian Arab Rep.;Italy;4781;917
2019;Syrian Arab Rep.;Portugal;768;5
2019;Syrian Arab Rep.;Spain;14133;2805
2019;Syrian Arab Rep.;Switzerland;18755;918
2019;Tunisia;France;368;305
2019;Tunisia;United Kingdom of Great Britain and Northern Ireland;60;60
2019;Tunisia;Germany;218;578
2019;Tunisia;Greece;21;42
2019;Tunisia;Italy;713;315
2019;Tunisia;Spain;7;305
2019;Tunisia;Switzerland;205;27
2019;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;23;8
2019;United Arab Emirates;Germany;39;0
2019;United Arab Emirates;Italy;5;0
2019;Western Sahara;France;715;293
2019;Western Sahara;United Kingdom of Great Britain and Northern Ireland;12;0
2019;Western Sahara;Greece;9;11
2019;Western Sahara;Italy;5;0
2019;Western Sahara;Spain;19;50
2019;Western Sahara;Switzerland;9;5
2019;Yemen;France;454;62
2019;Yemen;United Kingdom of Great Britain and Northern Ireland;819;290
2019;Yemen;Germany;2629;895
2019;Yemen;Greece;574;213
2019;Yemen;Italy;151;40
2019;Yemen;Portugal;9;0
2019;Yemen;Spain;206;675
2019;Yemen;Switzerland;130;12
2020;Algeria;France;2067;1252
2020;Algeria;United Kingdom of Great Britain and Northern Ireland;343;364
2020;Algeria;Germany;583;1109
2020;Algeria;Greece;109;429
2020;Algeria;Italy;233;146
2020;Algeria;Spain;68;1170
2020;Algeria;Switzerland;167;114
2020;Egypt;France;1093;469
2020;Egypt;United Kingdom of Great Britain and Northern Ireland;913;461
2020;Egypt;Germany;2130;2021
2020;Egypt;Greece;370;1841
2020;Egypt;Italy;2420;677
2020;Egypt;Portugal;0;5
2020;Egypt;Spain;55;90
2020;Egypt;Switzerland;127;14
2020;Bahrain;France;10;0
2020;Bahrain;United Kingdom of Great Britain and Northern Ireland;179;16
2020;Bahrain;Germany;88;6
2020;Bahrain;Italy;5;0
2020;Bahrain;Switzerland;5;0
2020;Palestinian;France;1179;216
2020;Palestinian;United Kingdom of Great Britain and Northern Ireland;645;311
2020;Palestinian;Germany;1964;403
2020;Palestinian;Greece;3789;1228
2020;Palestinian;Italy;1036;153
2020;Palestinian;Portugal;5;0
2020;Palestinian;Spain;1192;660
2020;Iraq;France;8933;1395
2020;Iraq;United Kingdom of Great Britain and Northern Ireland;6231;4941
2020;Iraq;Germany;131935;32890
2020;Iraq;Greece;10455;6468
2020;Iraq;Italy;7003;1157
2020;Iraq;Portugal;181;5
2020;Iraq;Spain;291;235
2020;Iraq;Switzerland;4733;471
2020;Israel;France;7;0
2020;Israel;United Kingdom of Great Britain and Northern Ireland;7;11
2020;Israel;Germany;36;33
2020;Israel;Italy;8;5
2020;Israel;Spain;0;10
2020;Israel;Switzerland;5;0
2020;Jordan;France;32;14
2020;Jordan;United Kingdom of Great Britain and Northern Ireland;83;100
2020;Jordan;Germany;443;501
2020;Jordan;Greece;37;17
2020;Jordan;Italy;40;23
2020;Jordan;Portugal;0;5
2020;Jordan;Spain;29;30
2020;Jordan;Switzerland;59;5
2020;Kuwait;France;191;349
2020;Kuwait;United Kingdom of Great Britain and Northern Ireland;661;311
